s0,theta0,Tvöfaldanir,h,n,Error
-0.562646735200732,-2.7420362858156,0,0.1,400,0.0560797771202139
-0.562646735200732,-2.7420362858156,1,0.05,800,0.00200795732304648
-0.562646735200732,-2.7420362858156,2,0.025,1600,6.59360456269908e-05
-0.562646735200732,-2.7420362858156,3,0.0125,3200,2.13096556977987e-06
-0.562646735200732,-2.7420362858156,4,0.00625,6400,6.99949147531242e-08
-0.562646735200732,-0.599541568038381,0,0.1,400,0.00672166341644109
-0.562646735200732,-0.599541568038381,1,0.05,800,0.000214140931153128
-0.562646735200732,-0.599541568038381,2,0.025,1600,6.73213706448017e-06
-0.562646735200732,-0.599541568038381,3,0.0125,3200,2.11539976424646e-07
-0.562646735200732,-0.599541568038381,4,0.00625,6400,6.67193811310085e-09
-0.562646735200732,-0.324382560356265,0,0.1,400,0.00487158048513203
-0.562646735200732,-0.324382560356265,1,0.05,800,0.000154794131841385
-0.562646735200732,-0.324382560356265,2,0.025,1600,4.84502642672524e-06
-0.562646735200732,-0.324382560356265,3,0.0125,3200,1.50907218277041e-07
-0.562646735200732,-0.324382560356265,4,0.00625,6400,4.67603289422414e-09
-0.788403453499544,-2.7420362858156,0,0.1,400,0.0507479297931548
-0.788403453499544,-2.7420362858156,1,0.05,800,0.00195141719142766
-0.788403453499544,-2.7420362858156,2,0.025,1600,6.10213858092123e-05
-0.788403453499544,-2.7420362858156,3,0.0125,3200,1.81208563843072e-06
-0.788403453499544,-2.7420362858156,4,0.00625,6400,4.94029079867175e-08
-0.788403453499544,-0.599541568038381,0,0.1,400,0.00953302780982423
-0.788403453499544,-0.599541568038381,1,0.05,800,0.0003024784320933
-0.788403453499544,-0.599541568038381,2,0.025,1600,9.50065283156221e-06
-0.788403453499544,-0.599541568038381,3,0.0125,3200,2.98019777078551e-07
-0.788403453499544,-0.599541568038381,4,0.00625,6400,9.36663679951266e-09
-0.788403453499544,-0.324382560356265,0,0.1,400,0.00856396069242393
-0.788403453499544,-0.324382560356265,1,0.05,800,0.000271724296929898
-0.788403453499544,-0.324382560356265,2,0.025,1600,8.53101238273979e-06
-0.788403453499544,-0.324382560356265,3,0.0125,3200,2.67405166898271e-07
-0.788403453499544,-0.324382560356265,4,0.00625,6400,8.39227287663391e-09
-0.780605070953612,-2.7420362858156,0,0.1,400,0.0476980519745169
-0.780605070953612,-2.7420362858156,1,0.05,800,0.00167387618856529
-0.780605070953612,-2.7420362858156,2,0.025,1600,5.92922129227791e-05
-0.780605070953612,-2.7420362858156,3,0.0125,3200,1.72077385052205e-06
-0.780605070953612,-2.7420362858156,4,0.00625,6400,4.43286591877978e-08
-0.780605070953612,-0.599541568038381,0,0.1,400,0.0095315701211196
-0.780605070953612,-0.599541568038381,1,0.05,800,0.000302714856557751
-0.780605070953612,-0.599541568038381,2,0.025,1600,9.51717261843399e-06
-0.780605070953612,-0.599541568038381,3,0.0125,3200,2.99089450983558e-07
-0.780605070953612,-0.599541568038381,4,0.00625,6400,9.43447608925396e-09
-0.780605070953612,-0.324382560356265,0,0.1,400,0.00854751762638717
-0.780605070953612,-0.324382560356265,1,0.05,800,0.000270881817227231
-0.780605070953612,-0.324382560356265,2,0.025,1600,8.50061104662458e-06
-0.780605070953612,-0.324382560356265,3,0.0125,3200,2.66237629054089e-07
-0.780605070953612,-0.324382560356265,4,0.00625,6400,8.3424220864714e-09
